key,recruitmentkey,firstname,lastname,slug,hometown,state,highschool,classyear,pos,height,height_in,weight,consensus_rating,consensus_st,consensus_pos,consensus_ovr,on3_rating,on3_st,on3_pos,on3_ovr,s247_rating,s247_st,s247_pos,s247_ovr,espn_rating,espn_st,espn_pos,espn_ovr,rivals_rating,rivals_st,rivals_pos,rivals_ovr,committed,
102209,924,Ronald,Powell,ronald-powell-102209,Moreno Valley, CA,Rancho Verde,2010,LB,'6-4,76.0,245,99.075,1,1,1,null,null,null,null,100,1,1,1,89,1,1,1,6.1,1,1,1,Florida,
37682,131137,Dominique,Easley,dominique-easley-37682,Staten Island, NY,Curtis,2010,DL,'6-2,74.0,290,98.74408602150538,1,1,2,null,null,null,null,100,1,1,4,88,null,1,3,6.1,1,2,7,Florida,
101392,941,Robert,Woods,robert-woods-101392,Gardena, CA,Junipero Serra,2010,WR,'6-0,72.0,190,98.57983870967742,2,1,3,null,null,null,null,100,2,1,2,87,2,1,7,6.1,2,1,6,USC,
135663,954,Jackson,Jeffcoat,jackson-jeffcoat-135663,Plano, TX,Plano West,2010,EDGE,'6-3,75.0,253,98.3758064516129,1,1,4,null,null,null,null,99,1,2,7,88,null,1,2,6.1,1,1,12,Texas,
105735,953,Seantrel,Henderson,seantrel-henderson-105735,Saint Paul, MN,Cretin Derham Hall,2010,OT,'6-7,79.0,331,98.21397849462366,1,1,5,null,null,null,null,99,1,1,6,86,null,1,8,6.1,1,1,2,Miami,
65593,951,Jordan,Hicks,jordan-hicks-65593,West Chester, OH,Lakota West,2010,LB,'6-1,73.0,236,98.11478494623657,1,2,6,null,null,null,null,99,1,1,5,87,null,1,4,6.1,2,1,16,Texas,
87647,131138,Michael,Dyer,michael-dyer-87647,Little Rock, AR,Little Rock Christian Academy,2010,RB,'5-9,69.0,215,97.92392473118281,1,1,7,null,null,null,null,98,1,1,13,87,null,1,5,6.1,1,2,11,Auburn,
135664,955,Lamarcus,Joyner,lamarcus-joyner-135664,Miami, FL,St. Thomas Aquinas,2010,CB,'5-8,68.0,175,97.8486559139785,1,1,8,null,null,null,null,98,1,2,14,87,null,1,6,6.1,1,1,14,Florida State,
106728,948,Sharrif,Floyd,sharrif-floyd-106728,Philadelphia, PA,George Washington,2010,DL,'6-3,75.0,303,97.82069892473119,1,2,9,null,null,null,null,100,1,1,3,83,null,3,25,6.1,1,1,4,Florida,
85239,131140,Matt,Elam,matt-elam-85239,Palm Beach Gardens, FL,Dwyer,2010,S,'5-10,70.0,200,97.41559139784947,2,1,10,null,null,null,null,98,2,1,15,86,null,2,9,6.1,3,2,25,Florida,
94769,154123,Owamagbe,Odighizuwa,owamagbe-odighizuwa-94769,Portland, OR,David Douglas HS,2010,EDGE,'6-3,75.0,267,97.35591397849463,1,2,11,null,null,null,null,98,1,4,21,84,null,2,17,6.1,1,2,8,UCLA,
82786,979,Marcus,Lattimore,marcus-lattimore-82786,Duncan, SC,Byrnes,2010,RB,'5-11,71.0,221,97.32903225806452,1,2,12,null,null,null,null,98,1,2,16,84,null,2,19,6.1,1,1,10,South Carolina,
2676,4390,Alec,Ogletree,alec-ogletree-2676,Newnan, GA,Newnan,2010,LB,'6-3,75.0,232,97.26051893408133,1,3,13,null,null,null,null,97,4,1,28,null,null,null,null,6,3,3,40,Georgia,
71833,978,Keenan,Allen,keenan-allen-71833,Greensboro, NC,Northern Guilford,2010,WR,'6-2,74.0,211,97.18447872837775,1,2,14,null,null,null,null,98,1,2,17,83,null,5,33,6.1,1,1,5,California,
76882,956,Kyle,Prater,kyle-prater-76882,Hillside, IL,Proviso West,2010,WR,'6-5,77.0,228,97.06300841514727,1,3,15,null,null,null,null,98,1,2,11,82,null,9,45,6.1,1,1,3,USC,
33290,8998,Dee,Milliner,dee-milliner-33290,Millbrook, AL,Stanhope Elmore,2010,CB,'6-0,72.0,201,97.0494623655914,1,2,16,null,null,null,null,98,1,2,19,84,null,6,16,6.1,1,2,23,Alabama,
88885,131139,Mike,Davis,mike-davis-88885,Dallas, TX,Skyline,2010,WR,'6-1,73.0,185,96.92755960729313,2,4,17,null,null,null,null,99,2,1,8,84,null,2,13,6,4,4,34,Texas,
121244,6775,William,Gholston,william-gholston-121244,Detroit, MI,Southeastern,2010,DL,'6-6,78.0,281,96.80795932678821,1,3,18,null,null,null,null,98,1,3,20,83,null,3,42,6.1,1,3,21,Michigan State,
27757,998,Da'Rick,Rogers,darick-rogers-27757,Calhoun, GA,Calhoun,2010,WR,'6-3,75.0,215,96.79112903225806,2,5,19,null,null,null,null,97,5,5,30,83,null,6,30,6.1,1,2,9,Tennessee,
